Deputado;perfil;link
abílio santana;@AbilioSantana_;https://twitter.com/AbilioSantana_
acácio favacho;@AcacioFavacho;https://twitter.com/AcacioFavacho
adolfo viana;@AdolfoViana_;https://twitter.com/AdolfoViana_
adriana ventura;@adrianasounovo;https://twitter.com/adrianasounovo
adriano do baldy;@adrianodobaldy;https://twitter.com/adrianodobaldy
afonso florence;@AfonsoFlorence;https://twitter.com/AfonsoFlorence
afonso hamm;@DepAfonsoHamm;https://twitter.com/DepAfonsoHamm
afonso motta;@afonso_motta;https://twitter.com/afonso_motta
aguinaldo ribeiro;@depaguinaldo11;https://twitter.com/depaguinaldo11
airton faleiro;@FaleiroAirton;https://twitter.com/FaleiroAirton
alê silva;@oficialalesilva;https://twitter.com/oficialalesilva
alan rick;@Alan_Rick;https://twitter.com/Alan_Rick
alceu moreira;@Alceu_Moreira;https://twitter.com/Alceu_Moreira
alencar santana braga;@AlencarBraga13;https://twitter.com/AlencarBraga13
alessandro molon;@alessandromolon;https://twitter.com/alessandromolon
alex manente;@AlexManentePPS;https://twitter.com/AlexManentePPS
alexandre frota;@alefrotabrasil;https://twitter.com/alefrotabrasil
alexandre leite;@lexandreleite;https://twitter.com/lexandreleite
alexandre padilha;@padilhando;https://twitter.com/padilhando
alexandre serfiotis;@AleSerfiotis;https://twitter.com/AleSerfiotis
alexis fonteyne;@AlexisFonteyne;https://twitter.com/AlexisFonteyne
alice portugal;@Alice_Portugal;https://twitter.com/Alice_Portugal
aliel machado;@alielmachado;https://twitter.com/alielmachado
aline gurgel;@dep_alinegurgel;https://twitter.com/dep_alinegurgel
aline sleutjes;@AlineSleutjes;https://twitter.com/AlineSleutjes
altineu côrtes;@Altineu;https://twitter.com/Altineu
aluisio mendes;@AluisioMendesMA;https://twitter.com/AluisioMendesMA
amaro neto;@amaronetotv;https://twitter.com/amaronetotv
andré figueiredo;@andrepdt12;https://twitter.com/andrepdt12
andré fufuca;@DepAndreFufuca;https://twitter.com/DepAndreFufuca
andré janones;@AndreJanonesAdv;https://twitter.com/AndreJanonesAdv
angela amin;@DeputadaAngela;https://twitter.com/DeputadaAngela
arnaldo jardim;@ArnaldoJardim;https://twitter.com/ArnaldoJardim
aroldo martins;@aroldomartins;https://twitter.com/aroldomartins
arthur lira;@ArthurLira_;https://twitter.com/ArthurLira_
arthur oliveira maia;@DepArthurMaia;https://twitter.com/DepArthurMaia
assis carvalho;@assis_carvalho;https://twitter.com/assis_carvalho
átila lira;@deputadoatila;https://twitter.com/deputadoatila
